Names,Call,Category,GTIRT17,start_time,end_time,count
OPERATOR:,fire brigade,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,yeah hi i live at eighty two grenfell tower there is a fire you are in attendance but i m stuck on the eleventh floor and i don t know how to get out,Flat,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,right is there any smoke coming onto your property,Smoke,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,not at the moment but if i open the door there s smoke on the landing,Smoke,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,there s smoke on the landing okay what floor are you on,Smoke,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,i m on the eleventh,Floor,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,you re on the eleventh okay right just keep your door,Floor,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,yeah it s on it s on closed yeah it s shut but i ve got a,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,keep your door closed keep the smoke out of your property okay,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,yeah okay,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,er what flat number are you at,Flat,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,eighty two i think the fire s like on the fifth or sixth floor like i can see it out of the window but obviously you know where it is,Flat,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,right i ll let the crews know where you are okay but you need,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,on eighty two yeah the eleventh floor,Flat,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,yeah okay all right,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,all right thank you,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
OPERATOR:,so just keep the doors closed okay keep your windows closed and just cover up inaudible any smoke okay,Smoke,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,oh right yeah cool,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
